time_step,met_demand,unmet_demand,iteration_cost,cumulative_cost,vertiport_counts
1,733.0,197,9155.173746603976,9155.173746603976,"{'Vertiport_1': 20, 'Vertiport_2': 13, 'Vertiport_3': 20, 'Vertiport_4': 19, 'Vertiport_5': 20, 'Vertiport_6': 3, 'Vertiport_7': 31, 'Vertiport_8': 27, 'Vertiport_9': 27, 'Vertiport_10': 20}"
2,360.0,72,4682.02508588799,13837.198832491966,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 35, 'Vertiport_8': 25, 'Vertiport_9': 21, 'Vertiport_10': 20}"
3,281.0,51,3304.467488643998,17141.666321135963,"{'Vertiport_1': 20, 'Vertiport_2': 21, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 31, 'Vertiport_8': 28, 'Vertiport_9': 19, 'Vertiport_10': 20}"
4,241.0,35,3072.5917886999987,20214.258109835962,"{'Vertiport_1': 20, 'Vertiport_2': 15, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 31, 'Vertiport_8': 28, 'Vertiport_9': 25, 'Vertiport_10': 20}"
5,192.0,26,2081.039806628001,22295.297916463962,"{'Vertiport_1': 20, 'Vertiport_2': 20, 'Vertiport_3': 20, 'Vertiport_4': 12, 'Vertiport_5': 20, 'Vertiport_6': 2, 'Vertiport_7': 36, 'Vertiport_8': 29, 'Vertiport_9': 21, 'Vertiport_10': 20}"
6,178.0,22,2106.89888782,24402.19680428396,"{'Vertiport_1': 20, 'Vertiport_2': 20, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 9, 'Vertiport_7': 21, 'Vertiport_8': 29, 'Vertiport_9': 20, 'Vertiport_10': 20}"
7,190.0,26,2105.909198372,26508.10600265596,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 16, 'Vertiport_5': 20, 'Vertiport_6': 11, 'Vertiport_7': 24, 'Vertiport_8': 30, 'Vertiport_9': 21, 'Vertiport_10': 20}"
8,210.0,32,2078.7202374879994,28586.82624014396,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 17, 'Vertiport_5': 20, 'Vertiport_6': 3, 'Vertiport_7': 33, 'Vertiport_8': 28, 'Vertiport_9': 21, 'Vertiport_10': 20}"
9,147.0,11,1840.778110104,30427.60435024796,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 20, 'Vertiport_5': 20, 'Vertiport_6': 12, 'Vertiport_7': 23, 'Vertiport_8': 24, 'Vertiport_9': 23, 'Vertiport_10': 20}"
10,132.0,12,1294.5511422240004,31722.15549247196,"{'Vertiport_1': 20, 'Vertiport_2': 17, 'Vertiport_3': 20, 'Vertiport_4': 13, 'Vertiport_5': 20, 'Vertiport_6': 8, 'Vertiport_7': 26, 'Vertiport_8': 33, 'Vertiport_9': 23, 'Vertiport_10': 20}"
11,134.0,4,1526.5464618280007,33248.70195429996,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 17, 'Vertiport_5': 20, 'Vertiport_6': 3, 'Vertiport_7': 26, 'Vertiport_8': 33, 'Vertiport_9': 23, 'Vertiport_10': 20}"
12,185.0,21,2096.5592596919996,35345.261213991966,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 20, 'Vertiport_5': 20, 'Vertiport_6': 7, 'Vertiport_7': 27, 'Vertiport_8': 26, 'Vertiport_9': 22, 'Vertiport_10': 20}"
13,147.0,15,1349.5261593880007,36694.787373379964,"{'Vertiport_1': 20, 'Vertiport_2': 20, 'Vertiport_3': 20, 'Vertiport_4': 15, 'Vertiport_5': 20, 'Vertiport_6': 8, 'Vertiport_7': 21, 'Vertiport_8': 36, 'Vertiport_9': 20, 'Vertiport_10': 20}"
14,151.0,15,1367.3859823800008,38062.173355759965,"{'Vertiport_1': 20, 'Vertiport_2': 20, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 9, 'Vertiport_7': 18, 'Vertiport_8': 33, 'Vertiport_9': 19, 'Vertiport_10': 20}"
15,256.0,48,2777.1515188279977,40839.32487458796,"{'Vertiport_1': 20, 'Vertiport_2': 21, 'Vertiport_3': 20, 'Vertiport_4': 11, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 41, 'Vertiport_8': 28, 'Vertiport_9': 19, 'Vertiport_10': 20}"
16,220.0,38,2469.077307056,43308.40218164396,"{'Vertiport_1': 20, 'Vertiport_2': 17, 'Vertiport_3': 20, 'Vertiport_4': 8, 'Vertiport_5': 20, 'Vertiport_6': 3, 'Vertiport_7': 39, 'Vertiport_8': 29, 'Vertiport_9': 24, 'Vertiport_10': 20}"
17,264.0,56,3166.8019808079985,46475.20416245196,"{'Vertiport_1': 20, 'Vertiport_2': 19, 'Vertiport_3': 20, 'Vertiport_4': 5, 'Vertiport_5': 20, 'Vertiport_6': 6, 'Vertiport_7': 40, 'Vertiport_8': 29, 'Vertiport_9': 21, 'Vertiport_10': 20}"
18,242.0,46,3061.3232519799976,49536.52741443196,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 4, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 49, 'Vertiport_8': 27, 'Vertiport_9': 22, 'Vertiport_10': 20}"
19,340.0,82,4523.012235923994,54059.53965035596,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 3, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 49, 'Vertiport_8': 28, 'Vertiport_9': 22, 'Vertiport_10': 20}"
20,356.0,88,4475.383666351993,58534.92331670795,"{'Vertiport_1': 20, 'Vertiport_2': 17, 'Vertiport_3': 20, 'Vertiport_4': 2, 'Vertiport_5': 20, 'Vertiport_6': 1, 'Vertiport_7': 48, 'Vertiport_8': 29, 'Vertiport_9': 23, 'Vertiport_10': 20}"
21,319.0,77,3980.2954296119974,62515.21874631995,"{'Vertiport_1': 20, 'Vertiport_2': 21, 'Vertiport_3': 20, 'Vertiport_4': 1, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 49, 'Vertiport_8': 30, 'Vertiport_9': 19, 'Vertiport_10': 20}"
22,393.0,99,5445.008857575991,67960.22760389594,"{'Vertiport_1': 20, 'Vertiport_2': 16, 'Vertiport_3': 20, 'Vertiport_4': 3, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 49, 'Vertiport_8': 29, 'Vertiport_9': 23, 'Vertiport_10': 20}"
23,499.0,145,6138.22265518398,74098.45025907992,"{'Vertiport_1': 20, 'Vertiport_2': 19, 'Vertiport_3': 20, 'Vertiport_4': 11, 'Vertiport_5': 20, 'Vertiport_6': 0, 'Vertiport_7': 46, 'Vertiport_8': 23, 'Vertiport_9': 21, 'Vertiport_10': 20}"
24,554.0,164,7195.416319203973,81293.8665782839,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 13, 'Vertiport_5': 20, 'Vertiport_6': 9, 'Vertiport_7': 34, 'Vertiport_8': 23, 'Vertiport_9': 23, 'Vertiport_10': 20}"
25,446.0,130,5887.301942019982,87181.16852030388,"{'Vertiport_1': 20, 'Vertiport_2': 20, 'Vertiport_3': 20, 'Vertiport_4': 12, 'Vertiport_5': 20, 'Vertiport_6': 14, 'Vertiport_7': 27, 'Vertiport_8': 27, 'Vertiport_9': 20, 'Vertiport_10': 20}"
26,435.0,135,6191.414497923986,93372.58301822786,"{'Vertiport_1': 20, 'Vertiport_2': 19, 'Vertiport_3': 20, 'Vertiport_4': 20, 'Vertiport_5': 20, 'Vertiport_6': 12, 'Vertiport_7': 29, 'Vertiport_8': 19, 'Vertiport_9': 21, 'Vertiport_10': 20}"
27,642.0,204,8361.075353279975,101733.65837150783,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 20, 'Vertiport_5': 20, 'Vertiport_6': 13, 'Vertiport_7': 28, 'Vertiport_8': 19, 'Vertiport_9': 22, 'Vertiport_10': 20}"
28,590.0,186,7928.635224091959,109662.2935955998,"{'Vertiport_1': 20, 'Vertiport_2': 18, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 12, 'Vertiport_7': 28, 'Vertiport_8': 18, 'Vertiport_9': 23, 'Vertiport_10': 20}"
29,658.0,210,8776.273463211975,118438.56705881178,"{'Vertiport_1': 20, 'Vertiport_2': 19, 'Vertiport_3': 20, 'Vertiport_4': 21, 'Vertiport_5': 20, 'Vertiport_6': 14, 'Vertiport_7': 27, 'Vertiport_8': 18, 'Vertiport_9': 21, 'Vertiport_10': 20}"
30,613.0,197,7805.865768091974,126244.43282690375,"{'Vertiport_1': 20, 'Vertiport_2': 19, 'Vertiport_3': 20, 'Vertiport_4': 20, 'Vertiport_5': 20, 'Vertiport_6': 16, 'Vertiport_7': 25, 'Vertiport_8': 19, 'Vertiport_9': 21, 'Vertiport_10': 20}"
31,676.0,216,8940.477859603978,135184.91068650773,"{'Vertiport_1': 20, 'Vertiport_2': 19, 'Vertiport_3': 20, 'Vertiport_4': 20, 'Vertiport_5': 20, 'Vertiport_6': 18, 'Vertiport_7': 24, 'Vertiport_8': 17, 'Vertiport_9': 22, 'Vertiport_10': 20}"
