Vertiport,Latitude,Longitude,Grid_ID
Vertiport_1,37.79575,-122.43975,755
Vertiport_2,37.62025,-122.38575,96
Vertiport_3,37.782250000000005,-122.39925,707
Vertiport_4,37.755250000000004,-122.41275,604
Vertiport_5,37.79575,-122.41275,757
Vertiport_6,37.768750000000004,-122.48025,650
Vertiport_7,37.768750000000004,-122.43975,653
Vertiport_8,37.72825,-122.45325,499
Vertiport_9,37.66075,-122.39925,248
Vertiport_10,37.782250000000005,-122.41275,706
