Vertiport,Latitude,Longitude,Grid_ID
Vertiport_1,37.7820643,-122.39757499999999,717
Vertiport_2,37.7820643,-122.45157499999999,713
Vertiport_3,37.7280643,-122.45157499999999,449
Vertiport_4,37.7955643,-122.438075,780
Vertiport_5,37.7685643,-122.47857499999999,645
Vertiport_6,37.7550643,-122.411075,584
Vertiport_7,37.7685643,-122.42457499999999,649
Vertiport_8,37.7820643,-122.411075,716
Vertiport_9,37.7955643,-122.411075,782
